"output" "labor" "capital" "province" "ownership" "industry" "list"
16522 521 10229 29 3 12 0
55400 524 42209 11 3 4 0
14495 525 13166 29 3 3 0
12858 526 4260 16 3 25 0
13570 526 11120 21 3 20 0
16491 527 22599 29 2 25 0
20805 528 63221 25 3 4 0
34843 528 18468 29 5 7 0
49562 528 15086 15 3 10 0
55429 528 37771 29 2 12 0
29776 529 23242 29 3 7 0
18454 530 12906 29 3 3 0
25439 530 28441 15 5 18 0
42712 532 49219 5 2 2 0
64566 540 118875 18 2 8 0
14332 541 7101 29 3 3 0
12001 550 45146 26 3 21 0
12358 550 45526 28 3 29 0
12648 550 19887 21 2 27 0
12931 550 7723 29 5 20 0
16773 550 23526 22 3 5 0
17184 550 18510 22 3 5 0
18001 550 15582 15 2 21 0
18978 550 14254 29 4 22 0
21752 550 21860 29 3 27 0
24055 550 16031 29 4 27 0
27849 550 43659 29 3 12 0
41789 550 42620 2 3 29 0
44052 550 20546 25 3 19 0
18001 551 16000 15 2 18 0
22959 551 13856 29 3 12 0
15129 556 22094 29 4 21 0
16301 556 20650 29 5 27 0
50700 557 41086 15 5 8 0
13011 558 9820 15 3 27 0
13724 560 17056 3 2 28 0
13800 560 65001 12 3 29 0
15348 560 8172 29 2 21 0
18120 560 10375 29 4 12 0
22086 560 12386 21 3 3 0
28203 560 40560 18 2 8 0
35000 560 50000 15 2 16 0
37006 560 69690 3 2 15 0
60000 560 15000 15 3 5 0
21685 562 11126 15 5 5 0
15665 566 23066 28 3 18 0
55024 566 12697 9 2 17 0
56653 568 28349 21 5 18 0
28449 572 46399 5 4 19 0
21333 574 18688 15 2 21 0
15000 576 9121 15 3 12 0
48176 576 52000 29 2 25 0
15523 577 37609 29 3 12 0
12080 578 5028 21 6 17 0
13000 580 3000 12 3 18 0
16150 580 23711 29 4 10 0
17530 580 40709 21 3 22 0
20266 580 6724 24 3 16 0
21470 580 32682 29 5 7 0
34570 580 10318 15 5 12 0
41555 580 26428 15 4 19 1
45530 580 59956 29 3 19 0
66774 580 37346 2 3 25 0
49005 582 56566 29 2 25 0
34180 584 20058 15 4 18 0
16401 585 40668 11 3 19 1
18637 585 14649 29 3 5 0
41537 587 31309 29 5 5 0
64500 587 71856 29 2 29 0
12000 588 50000 22 3 5 0
50000 588 4565 21 5 10 0
12409 593 10101 29 4 10 0
15812 593 19761 15 4 19 0
17693 594 25089 29 3 5 0
21626 596 21396 3 4 18 0
14767 597 5214 29 4 16 0
17677 597 19904 29 3 18 0
13629 598 1160 15 4 12 0
31209 598 24450 29 4 18 0
12110 600 10770 21 3 19 0
12500 600 18001 11 3 29 0
13000 600 30050 16 3 7 0
14000 600 11800 21 3 25 0
14721 600 26695 17 3 21 0
15000 600 5000 15 3 18 0
17823 600 13851 21 3 10 0
18000 600 19828 29 4 23 0
18246 600 9155 15 3 5 0
20199 600 9623 29 4 12 0
20489 600 12974 16 4 5 0
22000 600 22341 16 2 5 0
26000 600 6800 21 3 19 0
27814 600 32857 15 4 21 0
28065 600 17001 25 3 23 0
28241 600 95400 21 3 17 0
30000 600 30000 12 3 29 0
31419 600 50299 3 3 25 0
33000 600 29000 14 3 25 0
40350 600 19257 15 2 19 0
42015 600 210521 7 3 25 0
43510 600 24454 29 1 25 0
93000 600 30000 24 3 29 0
150470 600 97105 15 2 29 0
37936 601 18563 15 2 5 0
14148 602 16118 16 3 7 0
30922 602 17925 29 3 12 0
36000 602 21155 29 5 17 0
21543 605 7968 29 4 12 0
15011 606 13442 29 3 7 0
351407 606 405205 17 2 17 1
12800 608 6930 21 6 19 0
12040 610 11178 15 3 21 0
24800 612 17500 15 3 10 0
32508 612 44787 15 4 25 0
20001 613 50001 26 3 4 0
15864 614 9733 17 3 17 0
27046 616 25436 9 3 20 0
12059 618 10669 24 4 12 0
42582 618 27964 15 2 3 0
44708 618 209081 17 3 4 0
54853 618 110051 15 3 18 0
12000 620 10700 12 3 18 0
16882 620 11111 15 5 21 0
18001 620 7000 29 4 3 0
26697 620 14034 25 3 25 0
40918 620 34345 26 5 16 0
41199 621 29970 29 3 4 0
57109 621 40544 15 5 21 0
101033 622 67388 29 4 5 0
100174 624 58321 29 3 12 0
13640 625 11826 15 3 9 0
44324 625 21189 2 3 23 0
22529 628 15126 15 3 22 0
50109 628 17999 29 4 12 0
13780 629 16501 19 2 18 0
25572 629 21501 15 3 7 0
13000 630 30000 19 3 25 0
18143 630 18681 10 3 19 0
35000 630 6780 10 2 14 0
13589 634 13778 29 3 12 0
15149 636 19345 21 6 21 0
21569 637 19385 24 3 3 0
26413 640 18440 29 2 21 0
